Month_Year,Category,Ship_State,Order_Region,Total_Revenue,Total_Orders,Total_Units_Sold,Revenue_Segment
May-2022,BLOUSE,BIHAR,Domestic,689130,1170,1170,High
Apr-2022,BLOUSE,TAMIL NADU,Domestic,2794428,6084,5148,High
Apr-2022,KURTA,PUNJAB,Domestic,349783536,825992,807472,High
Apr-2022,BLOUSE,NEW DELHI,Domestic,60606,234,234,Medium
Apr-2022,KURTA,ARUNACHAL PRADESH,Domestic,13334400,33336,29632,High
May-2022,BOTTOM,PUNJAB,Domestic,7201,19,19,Low
Mar-2022,SET,UTTAR PRADESH,Domestic,5172619,6294,6294,High
Apr-2022,KURTA,PB,Domestic,1477896,3704,3704,High
Apr-2022,BLOUSE,TRIPURA,Domestic,87048,234,234,Medium
Jun-2022,KURTA,,International,5011512,11112,11112,High
Jun-2022,KURTA,LADAKH,Domestic,4378128,7408,7408,High
May-2022,SET,GOA,Domestic,66901024,91263,89165,High
Jun-2022,TOP,MANIPUR,Domestic,1316469,1722,1722,High
Apr-2022,BOTTOM,ANDHRA PRADESH,Domestic,27284,114,95,Low
May-2022,BLOUSE,PUNJAB,Domestic,363870,702,702,High
May-2022,BLOUSE,UTTARAKHAND,Domestic,390312,702,702,High
Jun-2022,SET,MANIPUR,Domestic,27902351,30421,30421,High
Jun-2022,SAREE,KARNATAKA,Domestic,457170,588,588,High
Mar-2022,KURTA,WEST BENGAL,Domestic,14660432,29632,29632,High
Apr-2022,TOP,BIHAR,Domestic,13332585,30135,26691,High
Apr-2022,TOP,MAHARASHTRA,Domestic,337762551,730128,709464,High
Jun-2022,SET,KARNATAKA,Domestic,1441166552,1792741,1741340,High
Jun-2022,BLOUSE,HIMACHAL PRADESH,Domestic,205686,234,234,High
Mar-2022,KURTA,RAJASTHAN,Domestic,3015056,7408,7408,High
Apr-2022,SET,DELHI,Domestic,972901344,1237820,1186419,High
Mar-2022,SET,KARNATAKA,Domestic,6974801,8392,8392,High
May-2022,BLOUSE,ANDHRA PRADESH,Domestic,1296360,2340,2340,High
Apr-2022,SET,TRIPURA,Domestic,20068419,22029,22029,High
May-2022,TOP,UTTAR PRADESH,Domestic,128357019,258300,246246,High
May-2022,BOTTOM,MAHARASHTRA,Domestic,84854,304,228,Medium
Apr-2022,KURTA,RJ,Domestic,2537240,3704,3704,High
May-2022,SET,PUNJAB,Domestic,216312192,276936,261201,High
Apr-2022,KURTA,BIHAR,Domestic,383215840,914888,870440,High
Apr-2022,SET,ASSAM,Domestic,257944904,325190,312602,High
May-2022,KURTA,PUDUCHERRY,Domestic,85588328,188904,181496,High
Jun-2022,TOP,DELHI,Domestic,97178487,161868,161007,High
May-2022,BOTTOM,BIHAR,Domestic,12559,57,38,Low
May-2022,TOP,CHANDIGARH,Domestic,9357348,19803,18081,High
Jun-2022,TOP,LADAKH,Domestic,781788,861,861,High
Jun-2022,BOTTOM,TAMIL NADU,Domestic,54036,209,209,Medium
Jun-2022,TOP,JHARKHAND,Domestic,5296872,8610,8610,High
May-2022,TOP,PUDUCHERRY,Domestic,7674093,10332,10332,High
Jun-2022,BOTTOM,BIHAR,Domestic,29412,57,57,Low
May-2022,BLOUSE,ASSAM,Domestic,283140,468,468,High
Jun-2022,SAREE,UTTARAKHAND,Domestic,111132,147,147,High
Apr-2022,BLOUSE,KERALA,Domestic,1339416,2340,2340,High
Jun-2022,KURTA,HARYANA,Domestic,555103664,1159352,1118608,High
Jun-2022,KURTA,GUJARAT,Domestic,666949648,1444560,1385296,High
