Month_Year,Category,Ship_State,Order_Region,Total_Revenue,Total_Orders,Total_Units_Sold,Revenue_Segment
Jan-2024,KURTA,RAJSTHAN,Domestic,10177754.95,10675,9433.0,Medium
Dec-2021,SAREE,VIETNAM,International,151763203.28,144591,125249.0,High
May-2022,TOP,ASSAM,Domestic,15238839.0,30996,30135.0,High
Jul-2022,SET,HIMACHAL PRADESH,Domestic,19476748.0,24161,23711.0,High
Aug-2024,TOP,BELGIUM,International,308628.2,287,249.0,Low
Jun-2023,KURTA,FRANCE,International,18568414.97,16111,15044.0,Medium
Jun-2022,BLOUSE,KARNATAKA,Domestic,6228144.0,9828,9828.0,High
Dec-2022,SAREE,JHARKHAND,Domestic,5634657.78,15856,15276.0,Medium
Dec-2024,SET,SOUTH AFRICA,International,259989087.18,554247,495264.0,High
Feb-2025,BLOUSE,HARYANA,Domestic,333872550.26,301688,256756.0,High
Aug-2025,BLOUSE,JHARKHAND,Domestic,14628543.14,13618,12344.0,Medium
Oct-2024,SAREE,IRELAND,International,475065.1,317,284.0,Low
Apr-2025,TOP,TELANGANA,Domestic,3220772.22,2614,2549.0,Medium
May-2022,BLOUSE,KARNATAKA,Domestic,176538.73,150,129.0,Low
Nov-2024,KURTA,FRANCE,International,99021078.35,206980,194822.0,High
Sep-2023,SET,SIKKIM,Domestic,232439.83,351,325.0,Low
Jul-2024,SET,MEGHALAYA,Domestic,11145099.91,32672,28884.0,Medium
Apr-2024,KURTA,SIKKIM,Domestic,309982701.85,217840,195359.0,High
Mar-2024,SET,LAKSHADWEEP,Domestic,68046.24,215,195.0,Low
Mar-2021,BOTTOM,ANDAMAN & NICOBAR,Domestic,321617.81,419,412.0,Low
Aug-2025,SAREE,PORTUGAL,International,499674.21,745,765.0,Low
Oct-2025,SAREE,CHANDIGARH,Domestic,263821.14,221,223.0,Low
May-2022,SET,SPAIN,International,392063755.21,274670,282625.0,High
Nov-2021,BOTTOM,PUNJAB,Domestic,7039746.32,13736,11945.0,Medium
Mar-2025,SET,UNITED KINGDOM,International,254284284.93,179972,171728.0,High
Aug-2023,KURTA,SOUTH AFRICA,International,164554.03,147,150.0,Low
Aug-2025,BLOUSE,AUSTRALIA,International,216878609.23,302396,264076.0,High
Oct-2025,BOTTOM,RAJSTHAN,Domestic,2738332.43,2338,2011.0,Medium
Feb-2023,TOP,International,Domestic,186012251.83,543485,543069.0,High
Dec-2021,SET,BELGIUM,International,1595159.19,2628,2511.0,Medium
Jun-2022,TOP,MADHYA PRADESH,Domestic,19484430.0,35301,34440.0,High
Dec-2025,SET,NAGALAND,Domestic,340572906.68,275932,277374.0,High
Nov-2022,SAREE,SOUTH AFRICA,International,10004908.37,7284,7356.0,Medium
Jul-2025,SAREE,RAJASTHAN,Domestic,211919580.49,621732,630569.0,High
May-2022,BLOUSE,PUNJAB,Domestic,363870.0,702,702.0,High
Oct-2023,SAREE,NETHERLANDS,International,10409291.72,8802,9228.0,Medium
Apr-2022,KURTA,CHANDIGARH,Domestic,42403392.0,107416,103712.0,High
Jun-2024,SET,THAILAND,International,78255.38,239,244.0,Low
Mar-2021,TOP,CHANDIGARH,Domestic,18560784.33,32312,31564.0,Medium
May-2022,SET,DADRA AND NAGAR,Domestic,9349737.0,11539,10490.0,High
Oct-2021,KURTA,TRIPURA,Domestic,6706929.85,7562,7727.0,Medium
Oct-2022,TOP,SOUTH KOREA,International,212408680.05,248603,258412.0,High
Feb-2023,KURTA,MALAYSIA,International,7021629.28,7605,6764.0,Medium
Dec-2022,SET,International,International,46882929.0,26281,23653.0,High
May-2022,BLOUSE,ODISHA,Domestic,597636.0,1170,1170.0,High
Sep-2022,SET,VIETNAM,International,292239.22,208,177.0,Low
May-2022,TOP,KARNATAKA,Domestic,279920.11,692,644.0,Low
Apr-2022,SET,PUDUCHERRY,Domestic,25529513.0,34617,33568.0,High
Mar-2021,BLOUSE,LADAKH,Domestic,31073.41,28,28.0,Low
Jan-2024,BLOUSE,AUSTRALIA,International,458589197.12,352871,320941.0,High
Oct-2025,KURTA,UAE,International,17230170.38,15471,14066.0,Medium
Sep-2025,BOTTOM,SIKKIM,Domestic,17519528.34,13944,13288.0,Medium
Dec-2025,SAREE,POLAND,International,301936054.14,557933,562404.0,High
Apr-2022,BLOUSE,TRIPURA,Domestic,87048.0,234,234.0,Medium
Jan-2024,SAREE,JAMMU & KASHMIR,Domestic,11111571.41,35888,31187.0,Medium
Aug-2022,SET,GUJARAT,Domestic,8891574.96,17614,15234.0,Medium
Dec-2024,BLOUSE,NAGALAND,Domestic,301724.3,224,192.0,Low
Mar-2021,SET,NEW ZEALAND,International,56594824.63,89883,90907.0,High
Jul-2022,BLOUSE,NEW DELHI,Domestic,309063.55,266,240.0,Low
Aug-2021,TOP,ANDAMAN & NICOBAR,Domestic,11362290.01,19669,18695.0,Medium
Jun-2022,BLOUSE,ANDHRA PRADESH,Domestic,1162044.0,1872,1872.0,High
Dec-2025,BOTTOM,BIHAR,Domestic,232577842.93,261508,257976.0,High
Mar-2021,TOP,SOUTH KOREA,International,5449511.02,9159,8522.0,Medium
May-2023,BLOUSE,PUNJAB/MOHALI/ZIRAKPUR,Domestic,15305160.1,14664,12691.0,Medium
Feb-2025,BLOUSE,MALAYSIA,International,15264436.32,10298,10421.0,Medium
Nov-2023,BLOUSE,MADHYA PRADESH,Domestic,9576995.96,6688,6931.0,Medium
Jul-2021,TOP,SOUTH AFRICA,International,377218.74,461,399.0,Low
Feb-2024,KURTA,TRIPURA,Domestic,153409.01,198,181.0,Low
Nov-2022,BOTTOM,UNITED STATES,International,7865655.98,6032,5835.0,Medium
Apr-2022,KURTA,BIHAR,Domestic,383215840.0,914888,870440.0,High
May-2023,KURTA,PORTUGAL,International,484480.21,574,596.0,Low
Mar-2022,SET,KERALA,Domestic,1290270.0,2098,2098.0,High
Nov-2025,SET,MEXICO,International,368691851.89,889178,826228.0,High
Jul-2025,TOP,FRANCE,International,19273729.27,26855,24687.0,Medium
Dec-2025,TOP,MEXICO,International,441101.05,331,306.0,Low
